#genename	UAC	RA-NEURO-FLAG
ARHGDIB	P52566	1
CALM1	P62158	1
CALM3	P62158	1
CAMK2D	Q13557	1
IKBKB	IKBKB	1
IRS1	P35568	1
JUN	P05412	1
KRAS	P01116	1
MAPK10	P53779	1
MAPK3	P27361	1
NFKB1	P19838 	1
NTRK1	NTRK1	1
NTRK3	Q16288	1
PLCG1	P19174	1
RAC1	P63000	1
RHOA	P61586	1
RPS6KA1	Q15418	1
TP73	O15350	1
YWHAE	P62258	1
YWHAH	Q04917	1
