"P07384" "Q15078" "P18031" "Q92851" "P10144" "O00220" "P50591" "O14763" "Q13158" "Q9UBN6" "P42574" "O14920" "P48023" "Q9Y6K9" "O15111" "Q14790" "P19438" "P08138" "Q00653" "A8K6K3" "P25963" "O43353" "Q01201" "P19838" "P21580" "Q12933" "Q8IUC6" "Q13546" "P41279" "Q04759" "Q9Y243" "P31749" "O95999" "O00221" "P17252" "P41743" "O15455" "P35568" "Q02156" "Q15653" "Q9Y4K3" "Q9UDY8" "Q92985" "O43524" "Q15628" "Q99558" "Q99759" "O43318" "P01138" "P21333" "P51617" "O14654" "Q9Y4H2" "Q05513" "Q13501" "P31751" "Q9BXL7" "Q13233" "Q04206" "Q6NSJ8" "Q9NPH3" "Q13490" "P14778" "Q13489" "Q00610" "O95429" "Q06187" "O14798" "P42575" "P55957" "P78560" "P15311" "P17405" "Q99683" "P42224" "Q13077" "Q99836" "O14733" "P49815" "O43187" "Q9Y616" "Q92574" "Q9NWZ3" "Q15654" "P62714" "P01583" "P01584" "Q9HAT8" "Q9H0E2" "Q8N2H9" "P30153" "Q9Y2T4" "Q00005" "Q96FA3" "P63151" "Q66LE6" "Q86XR7" "P67775" "P13861" "Q05469" "P31323" "P46940" "Q13370" "Q92934" "P24588" "P10644" "Q14432" "P31321" "P22612" "Q9BYV8" "Q96RT7" "Q9BSJ2" "Q66GS9" "O75935" "Q9NVX0" "Q9UGJ1" "Q96CW5" "Q8TAP6" "Q7Z460" "P62258" "Q8TCU4" "Q9P209" "Q8NHQ1" "O00444" "Q9Y2I6" "Q9UPV0" "Q96RT8" "P53350" "P06493" "P61981" "O15078" "O43805" "Q8TEP8" "Q86XR8" "P48730" "Q96MT8" "O75665" "Q9NXR1" "Q14008" "Q9BV73" "Q14204" "O95613" "P49674" "Q86SQ7" "O95684" "P51955" "P41208" "Q15691" "Q5JTW2" "Q9HC77" "P43034" "O94986" "Q9UPN4" "Q8NHV4" "Q13561"
"O00221" 0 0 0 0 0 0 0 0 0 0 0 0.8 0 0.8 0.8 0 0 0 0.0868 0 0.0946 0.083 0 0.7182 0.094 0 0.0764 0 0 0 0.8 0.8 0 1 0 0 0 0 0 0.0628 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0626 0.8 0 0 0.8 0 0 0 0 0.085 0 0 0 0 0 0 0 0 0 0 0 0.0678 0 0 0 0.069 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"P17252" 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0.9 0.9 0 0 0 0 0.0828 0.9 0 0 0.9 0 0 0 0 0 0 0.1508 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0.8 0 0 0 0 0 0 0 0.0746 0 0 0.8 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0.8 0 0 0 0 0 0.8 0 0 0 0 0 0 0.8 0 0 0 0 0 0 0 0 0 0 0.8 0 0 0 0 0 0 0 0 0 0 0.899 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"P41743" 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0.9 0.9 0 0.9 0.9 0 0 0 0.899 0 0.9 0 0 0 0.9 0 0 0.1552 0 0 0 0 1 0 0 0 0 0.899 0 0 0 0.899 0 0 0.0682 0.9 0 0.9 0 0 0.9 0.9 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8 0 0 0 0 0 0.8 0.8 0.8 0 0.8 0.8 0 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0698 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"O15455" 0 0 0 0 0 0 0.0606 0 0 0.178 0 0.9 0 0.9 0.9 0 0 0 0 0.9 0 0 0 0 0 0 0.9 0.9 0 0 0 0 0 0 0 0 1 0 0 0 0.9 0 0.9 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1816 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.04 0 0 0 0 0 0 0 0.169 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"P35568" 0 0 0.9 0 0 0 0 0 0 0 0 0.8 0 0.8 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0.8 0 0 0 0 0 0 0 0 0 0.9 0 0 0.1538 0.895 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Q02156" 0 0 0 0 0 0 0 0 0 0.174 0 0.9 0.9 0.9 0.9 0 0 0 0 0 0 0 0 0 0 0 0.1428 0 0 0.9 0 0 0 0 0 0 0 0.8 1 0 0 0 0 0 0 0 0 0 0 0 0 0.7826 0.787 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1812 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1618 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Q15653" 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0.9 0.9 0 0 0 0.802 0.8 0.9 0 0 0.9 0 0 0.066 0 0 0 0.8 0.8 0 0.0628 0 0 0 0 0 1 0 0 0 0 0 0 0 0.8 0 0 0 0 0.1432 0 0 0.8 0 0 0.79 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1596 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Q9Y4K3" 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0.9 0.9 0 0.8 0.9 0 0.9 0.9 0.9 0 0.9 0 0.1454 0.9 0.8 0 0 0 0.9 0.9 0 0 0.899 0.9 0 0 0 1 0.9 0.8 0 0 0 0.9 0.9 0.9 0 0.9 0 0 0.9 0.9 0 0.9 0.8 0.9 0 0 0 0.9 0.1632 0 0 0 0 0 0 0 0 0 0.9 0 0.1628 0.9 0 0 0.8 0.9 0 0.9 0 0 0.9 0.9 0 0.9 0 0 0 0 0.1734 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Q9UDY8" 0 0 0 0 0 0 0 0 0 0.156 0 0.9 0 0.9 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.77 0 0 0 0 0 0 0 0.9 1 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0.77 0 0 0 0 0 0 0 0 0 0 0.1434 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1572 0 0 0.1554 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Q92985" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8 0.8 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0.8 0 1 0 0 0 0 0 0 0 0.8 0 0 0 0 0 0 0 0.1522 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"O43524" 0 0 0 0 0 0 0 0 0 0 0 0.9 0.9 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8 0.9 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0.8 0 0 0.0578 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.899 0 0 0 0 0 0 0 0.9 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Q15628" 0 0 0 0 0 0.9 0.9 0.9 0.9 0.174 0 0.9 0 0.9 0.9 0 0.9 0 0 0.9 0 0 0 0.9 0.9 0.8 0 0.9 0 0 0 0 0 0 0 0.899 0 0 0 0 0 0 0 0 1 0.899 0.9 0.899 0 0 0 0.1606 0 0.899 0.899 0 0 0.9 0.9 0 0.8 0.9 0.8 0.9 0 0.9 0 0.1812 0.9 0.899 0.9 0 0.9 0.9 0.9 0.9 0.0616 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Q99558" 0 0 0 0 0 0 0 0 0.899 0 0 0.8 0 0.8 0.9 0 0.9 0 0.9 0 0 0 0.9 0.8 0 0.8 0 0.9 0.9 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0.899 1 0 0.8 0 0 0.8 0 0 0 0 0 0 0.8 0.8 0 0 0.9 0 0.9 0 0 0 0 0.899 0 0.899 0 0 0.9 0 0.9 0 0 0 0.8 0.8 0 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Q99759" 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0.9 0.9 0 0.9 0 0 0.9 0 0 0 0 0 0 0 0.9 0.1502 0 0.143 0 0 0 0.8 0 0 0 0 0 0.9 0 0 0 0.9 0 1 0.9 0 0 0.9 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0.1444 0 0 0 0 0 0 0.1456 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1422 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"O43318" 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0.9 0.9 0.066 0.9 0 0 0.9 0.8 0.8 0 0.8 0 0.8 0.9 0.9 0 0.8 0.0572 0 0.9 0 0 0.0682 0.9 0 0 0.8 0.9 0.9 0 0 0.899 0.8 0.9 1 0 0 0.9 0 0 0 0 0 0.9 0.9 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0918 0 0 0 0 0 0 0 0 0 0 0 0.0956 0 0 0 0
"P01138" 0 0 0 0 0 0 0 0 0 0 0.9 0.9 0 0.9 0.9 0 0 0.9 0 0 0.9 0.9 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0.9 0 0 0.9 0 0 0 0 0 0 0 1 0 0.9 0 0.899 0.9 0.9 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.899 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"P21333" 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0.9 0.899 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"P51617" 0 0 0 0 0 0 0 0 0 0 0 0.8666 0 0.9 0.87 0 0 0.9 0 0.9 0 0.9 0 0 0 0 0 0 0 0 0.1514 0 0 0 0 0.9 0 0 0 0 0.9 0 0.8 0 0 0.8 0.9 0.9 0.9 0 1 0 0 0.9 0.9 0 0 0 0 0 0.8 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0.1852 0.9 0 0.9 0.899 0.8 0.9 0.9 0.9 0.9 0.9 0.8 0.8 0.8 0.8886 0.8 0.8 0.9 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"O14654" 0 0 0.8 0 0 0 0 0 0 0.1574 0 0.8 0 0.8 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1538 0.7826 0 0 0 0 0 0.1606 0 0 0 0 0 0 1 0.1692 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1574 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1504 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Q9Y4H2" 0 0 0.8 0 0 0 0 0 0 0.146 0 0.8 0 0.8 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.895 0.787 0.1432 0 0 0 0 0 0 0 0 0.899 0 0 0.1692 1 0.8 0 0 0 0 0 0 0 0 0.146 0 0 0 0 0.1486 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1476 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Q05513" 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0.9 0.9 0 0.9 0.9 0 0 0.9 0.899 0 0.9 0 0 0 0.9 0 0 0.16 0.9 0 0 0 0.9 0 0.8 0 0 0.9 0 0 0 0.899 0 0 0 0.9 0 0.9 0.8 0.8 1 0.9 0 0 0 0.9 0 0 0 0 0 0 0 0 0.0688 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8 0 0 0 0 0 0.8 0.8 0.8 0 0.8 0.8 0 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Q13501" 0 0 0 0 0 0 0 0 0 0 0 0.899 0 0.9 0.899 0 0.9 0.899 0.0712 0.102 0.7914 0.899 0.04 0.7886 0 0 0 0.9 0 0 0 0 0 0.0626 0.0746 0.9 0 0 0 0 0.9 0 0 0 0.899 0 0.9 0 0.9 0 0.9 0 0 0.9 1 0 0 0 0.899 0 0 0 0 0 0 0 0 0 0 0 0 0 0.065 0 0 0 0 0 0 0.057 0 0 0 0.0538 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0648 0 0.0814 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"P31751" 0 0 0 0 0 0 0 0 0 0 0 0.8 0 0.8 0.8 0 0 0 0 0 0.8 0 0 0.8 0 0 0 0 0.8 0 0.143 0.8908 0 0.8 0 0 0 0 0 0.8 0 0 0 0.8 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8 0 0 0 0 0.8 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0.9 0 0 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Q9BXL7" 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0.9 0.9 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0.9 0 0 0.77 0 0 0 0 0 0 0 0.9 0.77 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Q13233" 0 0 0 0 0 0.9 0.9 0.9 0.9 0 0.9 0.8 0 0.8 0.8 0 0 0 0 0 0 0 0 0.8 0 0.8 0 0.9 0 0 0.1502 0 0 0 0.8 0 0 0 0 0 0.8 0 0 0 0.9 0.8 0 0.9 0 0 0 0 0 0 0 0 0 1 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.065 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Q04206" 0 0 0 0 0 0 0 0.0604 0 0 0 0.9 0 0.9 0.9 0 0.9 0.9 0.8046 0 0.9 0 0 0.7714 0.9 0 0.0662 0.79 0 0 0.8 0.8 0 0.8 0.9 0.9 0 0 0 0.79 0.9 0 0.1522 0.0578 0.9 0.8 0 0.8 0.9 0 0 0 0 0.9 0.899 0.8 0 0.8 1 0 0 0 0.9 0.9 0 0 0 0 0 0 0 0 0.0682 0 0 0.9 0 0 0 0 0 0 0 0 0.8 0 0.9 0 0 0 0.8 0.8 0.8 0 0.8 0.8 0 0.8 0 0 0 0 0 0 0 0 0 0 0.899 0 0 0 0 0 0 0 0 0 0 0.0876 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0662 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Q6NSJ8" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0.0444 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Q9NPH3" 0 0 0 0 0 0 0 0 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.142 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8 0 0 0 0 0 0.8 0 0 0 0 0 0 0 0 0.0444 1 0 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8 0 0 0.8 0.8 0 0.8 0 0 0.8 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Q13490" 0 0 0 0 0 0 0 0 0.9 0 0.9 0 0.9 0.9 0 0 0.9 0 0 0 0 0.8 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0.7916 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1562 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0678 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"P14778" 0 0 0 0 0 0 0 0 0.8 0 0.8 0 0 0 0 0 0 0 0 0.8 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0.8 0 0 0 0 0 0.9 0 0.146 0 0 0 0 0 0.9 0 0.8 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0.9 0.9 0 0.9 0 0 0.9 0.9 0 0.9 0 0 0 0 0 0 0 0.8668 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Q13489" 0 0 0 0 0 0.0492 0 0 0.9 0 0.9 0 0.9 0 0 0 0.9 0 0.0736 0 0.7936 0.8 0 0.7884 0.2554 0.1524 0 0.9 0.0652 0 0 0 0 0.085 0 0 0 0 0 0 0.1632 0 0 0 0.9 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0.7916 0 1 0 0.899 0 0 0.9 0.9 0.9 0 0.899 0.9 0 0.7922 0 0.899 0 0.0774 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1526 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Q00610" 0 0 0 0 0 0 0 0 0.9 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0792 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"O95429" 0 0 0 0.04 0 0 0 0 0.9 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0.04 0 0 0.9 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.899 0 1 0 0 0.9 0 0.899 0 0 0.9 0 0.899 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0738 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Q06187" 0 0 0 0 0 0 0 0 0.9 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1444 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"O14798" 0 0 0 0 0 0.2276 0.9 0.1768 0.8 0.2342 0 0 0 0.1548 0 0 0 0.1496 0 0 0 0.1812 0 0 0 0.1812 0 0 0 0 0 0 0 0 0 0 0.1816 0 0.1812 0 0 0.1434 0 0 0.1812 0 0 0 0 0 0 0.1574 0.1486 0.0688 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"P42575" 0 0 0 0 0 0 0 0 0.9 0 0.9 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0.899 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0.9 0 0 1 0 0.9 0 0 0.9 0 0.9 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
